year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,40,17,151.209,7,14-May,13:35,PM,35.11227,-119.63384,above,open,burrow mound,,,basking,mario,,1.589
2018,44,6,150.75,7,14-May,12:35,PM,35.11743,-119.62817,above,open,burrow,,,basking,rich,,1.602
2018,47,25,151.649,7,14-May,12:15,PM,35.12029,-119.62731,above,shrub,,,,standing,mario,,1.601
2018,56,9,150.81,7,14-May,13:12,PM,35.11734,-119.63391,above,open,burrow,,,basking,mario,,1.591
2018,64,8,151.79,7,14-May,10:20,AM,35.1153,-119.61946,above,open,burrow,,,basking,mario,,1.633
2018,80,4,150.63,7,14-May,11:35,AM,35.11517,-119.62369,above,open,,,,basking,rich,,1.642
2018,91,20,151.37,7,14-May,11:11,AM,35.11736,-119.62483,above,open,burrow,,,standing,rich,,1.528
2018,93,19,151.29,7,14-May,13:25,PM,35.12047,-119.6263,above,shrub,,,,standing,rich,,1.815
2018,99,3,150.609,7,14-May,11:53,AM,35.11522,-119.62507,above,open,burrow,,,observing,rich,,1.56
2018,100,1,150.549,7,14-May,12:47,PM,35.11797,-119.62663,below,open,,,,standing,rich,,1.632
2018,176,12,151.029,7,14-May,13:35,PM,35.116,-119.63577,below,open,burrow,mound,,standing,mario,,1.597
2018,200,10,150.83,7,14-May,12:54,PM,35.11811,-119.63175,above,open,,,,basking,mario,,1.642
2018,1337,29,151.91,7,14-May,12:24,AM,35.12071,-119.62889,above,open,burrow,mound,,basking,mario,a category for pulseinterval has been added,1.832
2018,12B,16,151.11,7,14-May,12:46,PM,35.11798,-119.62981,above,open,burrow,,,basking,mario,,1.594
2018,1,21,151.43,8,15-May,9:50,AM,35.12685,-119.63718,above,open,mound,1M from burrow,,basking,mario,,1.601
2018,2,26,151.809,8,15-May,9:55,AM,35.12486,-119.6367,below,open,burrow,,,sranding,mario,,1.437
2018,4,14,151.089,8,15-May,12:10,AM,35.121,-119.62548,above,open,mound,,,basking,steph,,1.635
2018,7,23,151.59,8,15-May,11:31,AM,35.11826,-119.6249,above,open,burrow,mound,,active,steph,was looking around and moving,1.776
2018,9,2,150.57,8,15-May,10:47,AM,35.11628,-119.63435,above,shrub,,,,standing,mario,,1.502
2018,11,22,151.47,8,15-May,9:59,AM,35.12409,-119.63531,above,open,washbank,,,basking,mario,,1.767
2018,12,15,151.11,8,15-May,10:24,AM,35.11858,-119.63089,below,open,mound,,,standing,mario,,1.655
2018,13,24,151.61,8,15-May,10:52,AM,35.11539,-119.6245,above,open,burrow,burrow entrance,,basking,steph,,1.75
2018,19,13,151.049,8,15-May,10:16,AM,35.11966,-119.62907,above,open,1M from Shrub,,,basking,mario,,1.832
2018,20,11,151,8,15-May,10:18,AM,35.11953,-119.62922,above,open,burrow,mound,,basking,mario,,1.811
2018,22,27,151.83,8,15-May,11:04,AM,35.11755,-119.633,above,open,burrow,mound,,basking,mario,,1.773
2018,30,7,150.77,8,15-May,10:57,AM,35.11802,-119.63302,above,open,mound,,,basking,mario,,1.489
2018,35,18,151.23,8,15-May,10:42,AM,35.11784,-119.63241,above,open,burrow,mound,,basking,mario,,1.703
2018,39,28,151.849,8,15-May,11:10,AM,35.11654,-119.62576,above,open,,,,basking,steph,,1.669
